ARS,AVL,BOU,BHA,BUR,CHE,CRY,EVE,LEI,LIV,MCI,MUN,NEW,NOR,SHU,SOU,TOT,WAT,WHU,WOL
NEW (A),TOT (A),SHU (H),WAT (A),SOU (H),MUN (A),EVE (H),CRY (A),WOL (H),NOR (H),WHU (A),CHE (H),ARS (H),LIV (A),BOU (A),BUR (A),AVL (H),BHA (H),MCI (H),LEI (A)
BUR (H),BOU (H),AVL (A),WHU (H),ARS (A),LEI (H),SHU (A),WAT (H),CHE (A),SOU (A),TOT (H),WOL (A),NOR (A),NEW (H),CRY (H),LIV (H),MCI (A),EVE (A),BHA (A),MUN (H)
LIV (A),EVE (H),MCI (H),SOU (H),WOL (A),NOR (A),MUN (A),AVL (A),SHU (A),ARS (H),BOU (A),CRY (H),TOT (A),CHE (H),LEI (H),BHA (A),NEW (H),WHU (H),WAT (A),BUR (H)
TOT (H),CRY (A),LEI (A),MCI (A),LIV (H),SHU (H),AVL (H),WOL (H),BOU (H),BUR (A),BHA (H),SOU (A),WAT (H),WHU (A),CHE (A),MUN (H),ARS (A),NEW (A),NOR (H),EVE (A)
WAT (A),WHU (H),EVE (H),BUR (H),BHA (A),WOL (A),TOT (A),BOU (A),MUN (A),NEW (H),NOR (A),LEI (H),LIV (A),MCI (H),SOU (H),SHU (A),CRY (H),ARS (H),AVL (A),CHE (H)
AVL (H),ARS (A),SOU (A),NEW (A),NOR (H),LIV (H),WOL (H),SHU (H),TOT (H),CHE (A),WAT (H),WHU (A),BHA (H),BUR (A),EVE (A),BOU (H),LEI (A),MCI (A),MUN (H),CRY (A)
MUN (A),BUR (H),WHU (H),CHE (A),AVL (A),BHA (H),NOR (H),MCI (H),NEW (H),SHU (A),EVE (A),ARS (H),LEI (A),CRY (A),LIV (H),TOT (A),SOU (H),WOL (A),BOU (A),WAT (H)
BOU (H),NOR (A),ARS (A),TOT (H),EVE (H),SOU (A),WHU (A),BUR (A),LIV (A),LEI (H),WOL (H),NEW (A),MUN (H),AVL (H),WAT (A),CHE (H),BHA (A),SHU (H),CRY (H),MCI (A)
SHU (A),BHA (H),NOR (H),AVL (A),LEI (A),NEW (H),MCI (H),WHU (H),BUR (H),MUN (A),CRY (A),LIV (H),CHE (A),BOU (A),ARS (H),WOL (A),WAT (H),TOT (A),EVE (A),SOU (H)
CRY (H),MCI (A),WAT (A),EVE (H),CHE (H),BUR (A),ARS (A),BHA (A),SOU (A),TOT (H),AVL (H),NOR (A),WOL (H),MUN (H),WHU (A),LEI (H),LIV (A),BOU (H),SHU (H),NEW (A)
WOL (H),LIV (H),MUN (H),NOR (H),SHU (A),WAT (A),LEI (H),TOT (H),CRY (A),AVL (A),SOU (H),BOU (A),WHU (A),BHA (A),BUR (H),MCI (A),EVE (A),CHE (H),NEW (H),ARS (A)
LEI (A),WOL (A),NEW (A),MUN (A),WHU (H),CRY (H),CHE (A),SOU (A),ARS (H),MCI (H),LIV (A),BHA (H),BOU (H),WAT (H),TOT (A),EVE (H),SHU (H),NOR (A),BUR (A),AVL (H)
SOU (H),NEW (H),WOL (H),LEI (H),WAT (A),MCI (A),LIV (H),NOR (H),BHA (A),CRY (A),CHE (H),SHU (A),AVL (A),EVE (A),MUN (H),ARS (A),WHU (A),BUR (H),TOT (H),BOU (A)
NOR (A),MUN (A),TOT (A),LIV (A),CRY (H),WHU (H),BUR (A),LEI (A),EVE (H),BHA (H),NEW (A),AVL (H),MCI (H),ARS (H),WOL (A),WAT (H),BOU (H),SOU (A),CHE (A),SHU (H)
BHA (H),CHE (A),CRY (A),ARS (A),MCI (H),AVL (H),BOU (H),LIV (A),WAT (H),EVE (H),BUR (A),TOT (H),SHU (A),SOU (A),NEW (H),NOR (H),MUN (A),LEI (A),WOL (A),WHU (H)
