ARS,AVL,BOU,BHA,BUR,CHE,CRY,EVE,LEI,LIV,MCI,MUN,NEW,NOR,SHU,SOU,TOT,WAT,WHU,WOL
675,878,710,605,744,771,616,608,704,444,546,757,671,1187,584,730,490,499,878,760
575,441,601,493,717,629,624,505,687,537,663,704,544,561,641,1080,986,697,636,622
1187,616,878,744,704,544,771,601,624,671,584,641,878,757,629,636,561,493,605,575
663,608,760,986,1080,710,490,704,441,730,499,537,505,546,687,622,717,675,444,697
605,493,616,575,636,704,878,584,771,561,544,629,1187,878,744,624,641,671,601,757
490,717,537,675,444,1080,704,710,663,687,505,546,499,730,697,441,760,986,622,608
771,575,493,687,601,499,444,878,561,624,697,671,760,608,1080,878,744,704,584,505
441,544,717,663,616,537,546,730,1187,629,704,675,622,490,605,757,636,710,641,986
624,499,444,601,760,561,878,493,575,771,608,1080,687,584,671,704,505,878,697,744
641,986,605,616,757,730,717,636,537,663,490,544,704,622,546,629,1187,441,710,675
704,1080,622,444,624,605,629,663,608,601,744,584,546,636,575,986,697,757,561,717
760,704,675,771,493,641,687,537,671,878,1187,499,441,505,878,616,710,544,730,490
744,561,704,629,605,986,1080,444,636,608,757,624,601,697,622,717,546,575,663,584
544,771,878,1187,641,493,730,760,616,499,675,490,878,671,704,505,441,537,687,710
499,687,608,717,878,490,441,1187,505,616,730,663,624,537,561,444,771,760,704,493
546,629,1080,704,878,697,605,757,601,584,622,986,744,710,544,675,575,641,671,636
878,624,687,608,561,441,499,771,444,505,717,616,730,760,490,493,704,1187,537,663
697,744,575,710,584,878,675,671,986,1000,629,605,641,704,636,601,757,622,1000,544
584,444,671,878,697,744,493,575,1080,760,704,561,771,601,505,687,499,624,608,878
757,605,636,441,622,717,537,675,546,704,710,730,616,663,986,641,544,490,629,1187
622,730,546,757,490,636,544,986,675,710,616,717,629,641,1187,663,537,704,441,605
608,878,505,697,687,575,671,499,744,878,601,444,704,771,493,760,1080,584,624,561
710,636,544,490,629,675,986,546,730,622,641,1187,757,441,717,704,605,663,616,537
687,505,499,584,771,671,744,561,493,1000,624,575,697,878,878,608,444,601,1000,1080
730,584,490,546,671,760,710,605,757,744,878,704,444,675,608,1187,878,616,499,771
561,663,624,505,537,622,697,641,704,544,493,687,717,1080,441,575,601,636,986,629
616,537,730,624,441,663,561,717,878,493,760,505,608,704,499,490,687,771,1187,444
1000,1000,757,641,675,584,636,622,544,605,1000,697,575,629,1000,546,704,1080,744,878
493,760,1187,704,663,616,505,687,490,441,771,878,537,624,444,561,730,608,717,499
636,757,641,671,986,601,584,1080,605,697,575,878,710,744,675,544,622,629,704,546
537,675,704,760,505,878,1187,544,499,641,687,710,490,616,771,671,493,730,878,441
444,704,561,622,608,546,575,629,697,986,1080,636,584,717,663,605,624,744,757,601
704,1187,771,544,710,505,760,878,641,490,537,441,493,499,730,878,616,687,675,671
629,622,663,1080,546,608,757,744,717,636,561,601,986,605,704,697,584,444,575,624
878,641,629,878,1187,624,601,704,584,575,636,744,605,493,757,771,671,561,544,616
1080,697,986,537,704,444,622,490,710,717,441,608,663,687,760,499,675,546,505,730
601,671,744,561,544,1187,704,624,878,757,605,493,636,575,616,584,629,878,771,641
505,546,697,730,499,704,663,441,622,675,444,760,1080,986,537,710,608,717,490,687
