ARS,AVL,BOU,BHA,BUR,CHE,CRY,EVE,LEI,LIV,MCI,MUN,NEW,NOR,SHU,SOU,TOT,WAT,WHU,WOL
582,744,614,552,722,702,735,576,662,449,726,754,633,962,583,626,630,647,864,741
577,457,704,531,742,782,583,574,658,642,665,776,675,632,608,894,910,626,619,572
962,735,864,722,776,675,702,704,583,633,583,608,744,754,782,619,632,531,552,577
665,576,741,910,894,614,630,662,457,626,647,642,574,726,658,572,742,582,449,626
552,531,735,577,619,776,744,583,702,632,675,782,962,864,722,583,608,633,704,754
630,742,642,582,449,894,662,614,665,658,574,726,647,626,626,457,741,910,572,576
702,577,531,658,704,647,449,864,632,583,626,633,741,576,894,744,722,776,583,574
457,675,742,665,735,642,726,626,962,782,662,582,572,630,552,754,619,614,608,910
583,647,449,704,741,632,864,531,577,702,576,894,658,583,633,776,574,744,626,722
608,910,552,735,754,626,742,619,642,665,630,675,662,572,726,782,962,457,614,582
662,894,572,449,583,552,782,665,576,704,722,583,726,619,577,910,626,754,632,742
741,776,582,702,531,608,658,642,633,864,962,647,457,574,744,735,614,675,626,630
722,632,662,782,552,910,894,449,619,576,754,583,704,626,572,742,726,577,665,583
675,702,744,962,608,531,626,741,735,647,582,630,864,633,776,574,457,642,658,614
647,658,576,742,864,630,457,962,574,735,626,665,583,642,632,449,702,741,776,531
726,782,894,662,744,626,552,754,704,583,572,910,722,614,675,582,577,608,633,619
864,583,658,576,632,457,647,702,449,574,742,735,626,741,630,531,776,962,642,665
626,722,577,614,583,744,582,633,910,1000,782,552,608,662,619,704,754,572,1000,675
583,449,633,744,626,722,531,577,894,741,776,632,702,704,574,658,647,583,576,864
754,552,619,457,572,742,642,582,726,662,614,626,735,665,910,608,675,630,782,962
572,626,726,754,630,619,675,910,582,614,735,742,782,608,962,665,642,662,457,552
576,864,574,626,658,577,633,647,722,744,704,449,776,702,531,741,894,583,583,632
614,619,675,630,782,582,910,726,626,572,608,962,754,457,742,662,552,665,735,642
658,574,647,583,702,633,722,632,531,563,583,577,626,744,864,576,449,704,608,894
626,583,630,726,633,741,614,552,754,722,744,662,449,582,576,962,864,735,647,702
632,665,583,574,642,572,626,608,776,675,531,658,742,894,457,577,704,619,910,782
735,642,626,583,457,665,632,742,864,531,741,574,576,776,647,630,658,702,962,449
1000,1000,754,608,582,583,619,572,675,552,1000,626,577,782,1000,726,662,894,722,744
531,741,962,776,665,735,574,658,630,457,702,864,642,583,449,632,626,576,742,647
619,754,608,633,910,704,583,894,552,626,577,744,614,722,582,675,572,782,662,726
642,582,776,741,574,864,962,675,647,608,658,614,630,735,702,633,531,626,744,457
449,662,632,572,576,726,577,782,626,910,894,619,583,742,665,552,583,722,754,704
776,962,702,675,614,574,741,744,608,630,642,457,531,647,626,864,735,658,582,633
782,572,665,894,726,576,754,722,742,619,632,704,910,552,662,626,583,449,577,583
744,608,782,864,962,583,704,776,583,577,619,722,552,531,754,702,633,632,675,735
894,626,910,642,662,449,572,630,614,742,457,576,665,658,741,647,582,726,574,626
704,633,722,632,675,962,776,583,744,754,552,531,619,577,735,583,782,864,702,608
574,726,626,626,647,662,665,457,572,582,449,741,894,910,642,614,576,742,630,658
