ARS,AVL,BOU,BHA,BUR,CHE,CRY,EVE,LEI,LIV,MCI,MUN,NEW,NOR,SHU,SOU,TOT,WAT,WHU,WOL
702,711,695,699,658,688,525,626,638,585,554,588,652,876,531,686,458,511,713,617
590,544,569,558,636,609,685,578,669,506,628,615,497,542,623,844,740,687,612,607
876,525,713,658,615,497,688,569,685,652,531,623,711,588,609,612,542,558,699,590
628,626,617,740,844,695,458,638,544,686,511,506,578,554,669,607,636,702,585,687
699,558,525,590,612,615,711,531,688,542,497,609,876,713,658,685,623,652,569,588
458,636,506,702,585,844,638,695,628,669,578,554,511,686,687,544,617,740,607,626
688,590,558,669,569,511,585,713,542,685,687,652,617,626,844,711,658,615,531,578
544,497,636,628,525,506,554,686,876,609,638,702,607,458,699,588,612,695,623,740
685,511,585,569,617,542,713,558,590,688,626,844,669,531,652,615,578,711,687,658
623,740,699,525,588,686,636,612,506,628,458,497,638,607,554,609,876,544,695,702
638,844,607,585,685,699,609,628,626,569,658,531,554,612,590,740,687,588,542,636
617,615,702,688,558,623,669,506,652,713,876,511,544,578,711,525,695,497,686,458
658,542,638,609,699,740,844,585,612,626,588,685,569,687,607,636,554,590,628,531
497,688,711,876,623,558,686,617,525,511,702,458,713,652,615,578,544,506,669,695
511,669,626,636,713,458,544,876,578,525,686,628,685,506,542,585,688,617,615,558
554,609,844,638,711,687,699,588,569,531,607,740,658,695,497,702,590,623,652,612
713,685,669,626,542,544,511,688,585,578,636,525,686,617,458,558,615,876,506,628
687,658,590,695,531,711,702,652,740,1000,609,699,623,638,612,569,588,607,1000,497
531,585,652,711,687,658,558,590,844,617,615,542,688,569,578,669,511,685,626,713
588,699,612,544,607,636,506,702,554,638,695,686,525,628,740,623,497,458,609,876
607,686,554,588,458,612,497,740,702,695,525,636,609,623,876,628,506,638,544,699
626,713,578,687,669,590,652,511,658,711,569,585,615,688,558,617,844,531,685,542
695,612,497,458,609,702,740,554,686,607,623,876,588,544,636,638,699,628,525,506
669,578,511,531,688,652,658,542,558,437,685,590,687,711,713,626,585,569,535,844
686,531,458,554,652,617,695,699,588,658,711,638,585,702,626,876,713,525,511,688
542,628,685,578,506,607,687,623,615,497,558,669,636,844,544,590,569,612,740,609
525,506,686,685,544,628,542,636,713,558,617,578,626,615,511,458,669,688,876,585
1000,1000,588,623,702,531,612,607,497,699,1000,687,590,609,1000,554,638,844,658,711
558,617,876,615,628,525,578,669,458,544,688,713,506,685,585,542,686,626,636,511
612,588,623,652,740,569,531,844,699,687,590,711,695,658,702,497,607,609,638,554
506,702,615,617,578,713,876,497,511,623,669,695,458,525,688,652,558,686,711,544
585,638,542,607,626,554,590,609,687,740,844,612,531,636,628,699,685,658,588,569
615,876,688,497,695,578,617,711,623,458,506,544,558,511,686,713,525,669,702,652
609,607,628,844,554,626,588,658,636,612,542,569,740,699,638,687,531,585,590,685
711,623,609,713,876,685,569,615,531,590,612,658,699,558,588,688,652,542,497,525
844,687,740,506,638,585,607,458,695,636,544,626,628,669,617,511,702,554,578,686
569,652,658,542,497,876,615,685,711,588,699,558,612,590,525,531,609,713,688,623
578,554,687,686,511,638,628,544,607,702,585,617,844,740,506,695,626,636,458,669
