HomeTeam,AwayTeam,HomeGoals,AwayGoals
LIV,NOR,4,1
WHU,MCI,0,5
BOU,SHU,1,1
BUR,SOU,3,0
CRY,EVE,0,0
WAT,BHA,0,3
TOT,AVL,3,1
NEW,ARS,0,1
LEI,WOL,0,0
MUN,CHE,4,0
ARS,BUR,2,1
AVL,BOU,1,2
BHA,WHU,1,1
EVE,WAT,1,0
NOR,NEW,3,1
SOU,LIV,1,2
MCI,TOT,2,2
SHU,CRY,1,0
CHE,LEI,1,1
WOL,MUN,1,1
AVL,EVE,2,0
NOR,CHE,2,3
SHU,LEI,1,2
BHA,SOU,0,2
WAT,WHU,1,3
MUN,CRY,1,2
LIV,ARS,3,1
BOU,MCI,1,3
WOL,BUR,1,1
TOT,NEW,0,1
SOU,MUN,1,1
WHU,NOR,2,0
CHE,SHU,2,2
CRY,AVL,1,0
LEI,BOU,3,1
MCI,BHA,4,0
NEW,WAT,1,1
BUR,LIV,0,3
EVE,WOL,3,2
ARS,TOT,2,2
LIV,NEW,3,1
MUN,LEI,1,0
BHA,BUR,1,1
SHU,SOU,0,1
TOT,CRY,4,0
WOL,CHE,2,5
NOR,MCI,3,2
BOU,EVE,3,1
WAT,ARS,2,2
AVL,WHU,0,0
SOU,BOU,1,3
LEI,TOT,2,1
MCI,WAT,8,0
BUR,NOR,2,0
EVE,SHU,0,2
NEW,BHA,0,0
CRY,WOL,1,1
WHU,MUN,2,0
CHE,LIV,1,2
ARS,AVL,3,2
SHU,LIV,0,1
TOT,SOU,2,1
WOL,WAT,2,0
AVL,BUR,2,2
BOU,WHU,2,2
CHE,BHA,2,0
CRY,NOR,2,0
EVE,MCI,1,3
LEI,NEW,5,0
MUN,ARS,1,1
BHA,TOT,3,0
BUR,EVE,1,0
LIV,LEI,2,1
NOR,AVL,1,5
WAT,SHU,0,0
WHU,CRY,1,2
MCI,WOL,0,2
SOU,CHE,1,4
ARS,BOU,1,0
NEW,MUN,1,0
EVE,WHU,2,0
AVL,BHA,2,1
BOU,NOR,0,0
CHE,NEW,1,0
LEI,BUR,2,1
TOT,WAT,1,1
WOL,SOU,1,1
CRY,MCI,0,2
MUN,LIV,1,1
SHU,ARS,1,0
SOU,LEI,0,9
MCI,AVL,3,0
BHA,EVE,3,2
WAT,BOU,0,0
WHU,SHU,1,1
BUR,CHE,2,4
NEW,WOL,1,1
ARS,CRY,2,2
LIV,TOT,2,1
NOR,MUN,1,3
