HomeTeam,AwayTeam,HomeGoals,AwayGoals
LIV,NOR,2.23456,0.842407
WHU,MCI,1.2003,3.18377
BOU,SHU,1.34099,1.59864
BUR,SOU,0.909241,1.08752
CRY,EVE,0.87159,1.2246
WAT,BHA,0.670022,0.855516
TOT,AVL,2.57262,0.639599
NEW,ARS,0.380551,1.13309
LEI,WOL,0.543759,0.812949
MUN,CHE,2.37442,1.09534
ARS,BUR,1.1644,1.39172
AVL,BOU,1.65069,1.62777
BHA,WHU,2.40461,1.00856
EVE,WAT,0.832913,1.17279
NOR,NEW,2.09572,0.920429
SOU,LIV,2.14047,1.52022
MCI,TOT,3.20076,0.074542
SHU,CRY,1.84778,0.241912
CHE,LEI,1.22629,0.947941
WOL,MUN,0.307356,1.14332
AVL,EVE,0.855926,1.25668
NOR,CHE,1.07904,1.89428
SHU,LEI,0.654318,0.704879
BHA,SOU,0.997711,2.07795
WAT,WHU,2.29348,3.45768
MUN,CRY,2.23561,0.676993
LIV,ARS,2.78821,0.985542
BOU,MCI,1.89345,3.12856
WOL,BUR,1.32793,1.22762
TOT,NEW,1.25927,0.51428
SOU,MUN,0.769616,1.90356
WHU,NOR,2.20657,1.1674
CHE,SHU,2.30579,1.04649
CRY,AVL,1.41394,0.30354
LEI,BOU,2.23766,0.554726
MCI,BHA,2.30818,0.861035
NEW,WAT,1.04131,1.1068
BUR,LIV,0.61739,1.20057
EVE,WOL,1.48842,2.00172
ARS,TOT,1.92509,1.95514
LIV,NEW,2.93281,0.291073
MUN,LEI,1.10019,0.459141
BHA,BUR,1.68545,0.341654
SHU,SOU,1.88034,1.57659
TOT,CRY,1.04944,0.577323
WOL,CHE,1.49359,3.06799
NOR,MCI,1.7413,2.34436
BOU,EVE,1.41542,1.50641
WAT,ARS,2.83209,1.00616
AVL,WHU,1.40502,0.535279
SOU,BOU,2.18021,1.29773
LEI,TOT,1.28752,1.33735
MCI,WAT,6.63049,0.344718
BUR,NOR,2.39312,0.801428
EVE,SHU,1.26041,0.508011
NEW,BHA,1.09807,1.21592
CRY,WOL,0.984777,1.75572
WHU,MUN,0.51376,1.27826
CHE,LIV,1.23321,1.03003
ARS,AVL,2.53209,1.71546
SHU,LIV,1.17022,1.97079
TOT,SOU,1.19008,1.16256
WOL,WAT,1.16363,1.06615
AVL,BUR,0.914266,1.66919
BOU,WHU,2.31957,1.29546
CHE,BHA,4.26443,0.616263
CRY,NOR,1.80497,0.712129
EVE,MCI,2.35854,3.1082
LEI,NEW,1.82438,0.054134
MUN,ARS,1.1335,1.70399
BHA,TOT,2.60017,0.478504
BUR,EVE,0.558912,1.30723
LIV,LEI,3.74867,0.0982107
NOR,AVL,1.84838,3.67827
WAT,SHU,1.44318,0.353724
WHU,CRY,1.23577,2.0682
MCI,WOL,1.61884,1.18825
SOU,CHE,1.27044,2.15201
ARS,BOU,1.24109,0.683967
NEW,MUN,0.650296,0.969204
EVE,WHU,2.23324,0.459112
AVL,BHA,2.96692,1.32184
BOU,NOR,0.675554,0.402873
CHE,NEW,2.30068,0.197082
LEI,BUR,0.8291,1.79569
TOT,WAT,0.891617,0.846851
WOL,SOU,0.887495,1.37695
CRY,MCI,0.616864,4.02104
MUN,LIV,0.791862,1.03212
SHU,ARS,0.895722,0.949735
SOU,LEI,0.457334,4.38046
MCI,AVL,3.19004,0.980145
BHA,EVE,1.15279,1.04723
WAT,BOU,0.674903,0.899526
WHU,SHU,2.33891,1.16171
BUR,CHE,2.23494,0.988321
NEW,WOL,0.603104,1.93255
ARS,CRY,1.54014,1.77892
LIV,TOT,2.18851,1.35143
NOR,MUN,0.8924,4.51232
BOU,MUN,1.86862,0.641129
ARS,WOL,1.02552,1.5103
AVL,LIV,0.741615,2.38824
BHA,NOR,2.65496,0.455082
MCI,SOU,3.36132,0.893889
SHU,BUR,2.58392,0.716613
WHU,NEW,1.53597,1.93192
WAT,CHE,1.4744,2.18313
CRY,LEI,0.44291,0.981167
EVE,TOT,1.15532,0.243393
NOR,WAT,0.62104,1.36017
CHE,CRY,3.28903,0.479488
BUR,WHU,2.4158,0.474281
NEW,BOU,2.3306,1.9213
SOU,EVE,0.742281,2.08883
TOT,SHU,1.5104,0.923443
LEI,ARS,1.37055,0.961339
WOL,AVL,2.09891,0.473225
MUN,BHA,3.65299,1.1342
